match_id,surface,tourney_date,stat_name,side,value
108,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.173913043478261
108,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.0869565217391304
108,Hard,2024-01-15,breakPointsSaved,Winner,0.5217391304347826
108,Hard,2024-01-15,breakPointsSaved,Loser,0.391304347826087
109,Hard,2024-01-15,aces,Winner,0.4444444444444444
109,Hard,2024-01-15,aces,Loser,0.4444444444444444
109,Hard,2024-01-15,doubleFaults,Winner,0.16666666666666666
109,Hard,2024-01-15,doubleFaults,Loser,0.16666666666666666
109,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.4444444444444446
109,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.0555555555555554
109,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.5555555555555556
109,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.1666666666666667
109,Hard,2024-01-15,breakPointsSaved,Winner,0.3333333333333333
109,Hard,2024-01-15,breakPointsSaved,Loser,0.6111111111111112
110,Hard,2024-01-15,aces,Winner,0.5555555555555556
110,Hard,2024-01-15,aces,Loser,0.9411764705882353
110,Hard,2024-01-15,doubleFaults,Winner,0.16666666666666666
110,Hard,2024-01-15,doubleFaults,Loser,0.35294117647058826
110,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.611111111111111
110,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.7058823529411766
110,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.0555555555555556
110,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.4705882352941178
110,Hard,2024-01-15,breakPointsSaved,Winner,0.0
110,Hard,2024-01-15,breakPointsSaved,Loser,0.6470588235294118
111,Hard,2024-01-15,aces,Winner,0.4090909090909091
111,Hard,2024-01-15,aces,Loser,0.045454545454545456
111,Hard,2024-01-15,doubleFaults,Winner,0.13636363636363635
111,Hard,2024-01-15,doubleFaults,Loser,0.3181818181818182
111,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.909090909090909
111,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.272727272727273
111,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.2272727272727273
111,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.5454545454545454
111,Hard,2024-01-15,breakPointsSaved,Winner,0.2727272727272727
111,Hard,2024-01-15,breakPointsSaved,Loser,0.36363636363636365
112,Hard,2024-01-15,aces,Winner,0.3333333333333333
112,Hard,2024-01-15,aces,Loser,0.2857142857142857
112,Hard,2024-01-15,doubleFaults,Winner,0.19047619047619047
112,Hard,2024-01-15,doubleFaults,Loser,0.19047619047619047
112,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.9523809523809526
112,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.6666666666666665
112,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.4761904761904763
112,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.2380952380952381
112,Hard,2024-01-15,breakPointsSaved,Winner,0.14285714285714285
112,Hard,2024-01-15,breakPointsSaved,Loser,0.23809523809523808
113,Hard,2024-01-15,aces,Winner,0.4583333333333333
113,Hard,2024-01-15,aces,Loser,0.875
113,Hard,2024-01-15,doubleFaults,Winner,0.25
113,Hard,2024-01-15,doubleFaults,Loser,0.125
113,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.4583333333333335
113,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.0416666666666665
113,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.625
113,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.2083333333333333
113,Hard,2024-01-15,breakPointsSaved,Winner,0.0
113,Hard,2024-01-15,breakPointsSaved,Loser,0.3333333333333333
114,Hard,2024-01-15,aces,Winner,0.75
114,Hard,2024-01-15,aces,Loser,0.5833333333333334
114,Hard,2024-01-15,doubleFaults,Winner,0.125
114,Hard,2024-01-15,doubleFaults,Loser,0.08333333333333333
114,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.9166666666666665
114,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.75
114,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.3333333333333333
