,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2943,2024-580,Australian Open,Hard,128.0,G,2024-01-15,100,104925,1.0,,Novak Djokovic,R,188.0,SRB,36.6,209976,,Q,Dino Prizmic,R,188.0,CRO,18.4,6-2 6-7(5) 6-3 6-4,5,R128,241.0,11.0,1.0,129.0,77.0,51.0,32.0,20.0,5.0,9.0,7.0,7.0,123.0,84.0,55.0,12.0,19.0,9.0,17.0,1.0,11055.0,187.0,321.0
2944,2024-580,Australian Open,Hard,128.0,G,2024-01-15,101,200615,,,Alexei Popyrin,R,196.0,AUS,24.4,117360,,WC,Marc Polmans,R,188.0,AUS,26.7,6-3 7-6(3) 6-2,5,R128,148.0,20.0,3.0,87.0,63.0,51.0,15.0,15.0,3.0,3.0,11.0,5.0,113.0,77.0,51.0,15.0,14.0,7.0,11.0,43.0,1052.0,154.0,406.0
2945,2024-580,Australian Open,Hard,128.0,G,2024-01-15,102,104792,,,Gael Monfils,R,193.0,FRA,37.3,105870,,,Yannick Hanfmann,R,193.0,GER,32.1,6-4 6-3 7-5,5,R128,139.0,16.0,5.0,94.0,49.0,36.0,29.0,16.0,4.0,5.0,6.0,4.0,108.0,70.0,45.0,18.0,15.0,8.0,12.0,76.0,737.0,52.0,929.0
2946,2024-580,Australian Open,Hard,128.0,G,2024-01-15,103,144869,30.0,,Tomas Martin Etcheverry,R,196.0,ARG,24.4,104918,,,Andy Murray,R,191.0,GBR,36.6,6-4 6-2 6-2,5,R128,143.0,11.0,0.0,80.0,57.0,43.0,14.0,13.0,4.0,5.0,6.0,2.0,82.0,43.0,31.0,13.0,13.0,8.0,14.0,32.0,1375.0,44.0,1050.0
2947,2024-580,Australian Open,Hard,128.0,G,2024-01-15,104,105173,20.0,,Adrian Mannarino,L,180.0,FRA,35.5,104527,,,Stan Wawrinka,R,183.0,SUI,38.8,6-4 3-6 5-7 6-3 6-0,5,R128,216.0,13.0,6.0,131.0,76.0,62.0,27.0,23.0,6.0,10.0,14.0,0.0,138.0,70.0,52.0,30.0,23.0,6.0,13.0,19.0,1765.0,56.0,907.0
2948,2024-580,Australian Open,Hard,128.0,G,2024-01-15,105,144719,,,Jaume Munar,R,183.0,ESP,26.6,207686,,,Alexander Shevchenko,R,185.0,KAZ,23.1,6-3 6-3 6-1,5,R128,115.0,8.0,3.0,70.0,49.0,40.0,11.0,13.0,3.0,4.0,3.0,5.0,91.0,49.0,31.0,15.0,12.0,9.0,15.0,82.0,706.0,48.0,975.0
2949,2024-580,Australian Open,Hard,128.0,G,2024-01-15,106,106331,,,Christopher Oconnell,R,183.0,AUS,29.6,106426,,,Cristian Garin,R,185.0,CHI,27.6,3-6 7-5 4-6 6-1 7-5,5,R128,261.0,18.0,5.0,173.0,97.0,73.0,33.0,25.0,12.0,17.0,13.0,10.0,148.0,82.0,55.0,32.0,25.0,4.0,11.0,68.0,814.0,86.0,680.0
2950,2024-580,Australian Open,Hard,128.0,G,2024-01-15,107,210097,16.0,,Ben Shelton,L,193.0,USA,21.2,105138,,,Roberto Bautista Agut,R,183.0,ESP,35.7,6-2 7-6(2) 7-5,5,R128,166.0,14.0,2.0,103.0,70.0,55.0,13.0,16.0,9.0,11.0,1.0,2.0,114.0,87.0,50.0,13.0,16.0,1.0,6.0,16.0,2225.0,72.0,776.0
2951,2024-580,Australian Open,Hard,128.0,G,2024-01-15,108,126203,12.0,,Taylor Fritz,R,196.0,USA,26.2,207680,,,Facundo Diaz Acosta,L,183.0,ARG,23.0,4-6 6-3 3-6 6-2 6-4,5,R128,243.0,8.0,1.0,150.0,98.0,65.0,27.0,23.0,12.0,17.0,4.0,7.0,157.0,99.0,65.0,25.0,23.0,9.0,16.0,12.0,2840.0,90.0,661.0
2952,2024-580,Australian Open,Hard,128.0,G,2024-01-15,109,200384,,LL,Hugo Gaston,L,173.0,FRA,23.3,106148,,,Roberto Carballes Baena,R,183.0,ESP,30.8,6-3 6-2 3-6 6-4,5,R128,174.0,8.0,3.0,108.0,68.0,44.0,28.0,18.0,6.0,8.0,8.0,3.0,133.0,83.0,55.0,21.0,18.0,11.0,16.0,97.0,626.0,63.0,846.0
2953,2024-580,Australian Open,Hard,128.0,G,2024-01-15,110,206681,,,Fabian Marozsan,R,193.0,HUN,24.2,105227,,,Marin Cilic,R,198.0,CRO,35.2,6-1 2-6 6-2 7-5,5,R128,151.0,10.0,3.0,91.0,59.0,47.0,19.0,18.0,0.0,2.0,16.0,6.0,125.0,65.0,46.0,25.0,17.0,11.0,17.0,67.0,823.0,,
2954,2024-580,Australian Open,Hard,128.0,G,2024-01-15,111,202103,22.0,,Francisco Cerundolo,R,185.0,ARG,25.4,208013,,Q,Dane Sweeny,R,170.0,AUS,22.9,3-6 6-3 6-4 2-6 6-2,5,R128,203.0,9.0,3.0,137.0,91.0,64.0,27.0,22.0,6.0,10.0,1.0,7.0,135.0,78.0,50.0,34.0,22.0,8.0,13.0,21.0,1760.0,257.0,228.0
2955,2024-580,Australian Open,Hard,128.0,G,2024-01-15,112,207518,25.0,,Lorenzo Musetti,R,185.0,ITA,21.8,126127,,,Benjamin Bonzi,R,183.0,FRA,27.6,7-6(3) 7-6(4) 4-6 6-2,5,R128,214.0,7.0,4.0,149.0,89.0,62.0,31.0,21.0,3.0,7.0,6.0,4.0,127.0,79.0,56.0,26.0,21.0,5.0,10.0,28.0,1440.0,106.0,588.0
2956,2024-580,Australian Open,Hard,128.0,G,2024-01-15,113,209414,,,Luca Van Assche,R,178.0,FRA,19.6,105902,,WC,James Duckworth,R,183.0,AUS,31.9,6-7(2) 6-3 3-6 6-3 6-3,5,R128,212.0,11.0,6.0,134.0,67.0,59.0,39.0,24.0,0.0,2.0,21.0,3.0,157.0,95.0,73.0,29.0,24.0,8.0,13.0,79.0,715.0,95.0,628.0
2957,2024-580,Australian Open,Hard,128.0,G,2024-01-15,114,111442,,,Jordan Thompson,R,183.0,AUS,29.7,126846,,,Aleksandar Vukic,R,188.0,AUS,27.7,3-6 7-6(3) 6-2 3-6 6-4,5,R128,248.0,18.0,3.0,151.0,91.0,70.0,32.0,24.0,12.0,15.0,14.0,2.0,158.0,93.0,66.0,39.0,24.0,8.0,12.0,47.0,982.0,64.0,835.0
2958,2024-580,Australian Open,Hard,128.0,G,2024-01-15,115,126774,7.0,,Stefanos Tsitsipas,R,193.0,GRE,25.4,200267,,LL,Zizou Bergs,R,185.0,BEL,24.6,5-7 6-1 6-1 6-3,5,R128,179.0,10.0,6.0,116.0,66.0,48.0,27.0,18.0,3.0,5.0,6.0,3.0,113.0,57.0,36.0,28.0,17.0,9.0,16.0,7.0,4025.0,129.0,508.0
2959,2024-580,Australian Open,Hard,128.0,G,2024-01-15,116,206173,4.0,,Jannik Sinner,R,191.0,ITA,22.4,122298,,,Botic Van De Zandschulp,R,191.0,NED,28.2,6-4 7-5 6-3,5,R128,154.0,7.0,2.0,88.0,51.0,35.0,24.0,16.0,5.0,6.0,8.0,2.0,107.0,69.0,45.0,15.0,15.0,10.0,15.0,4.0,6490.0,59.0,890.0
2960,2024-580,Australian Open,Hard,128.0,G,2024-01-15,117,207411,,Q,Jesper De Jong,R,180.0,NED,23.6,106398,,,Pedro Cachin,R,185.0,ARG,28.7,4-6 6-2 6-3 6-4,5,R128,153.0,11.0,2.0,112.0,75.0,56.0,23.0,19.0,4.0,6.0,7.0,3.0,105.0,66.0,45.0,19.0,18.0,3.0,8.0,161.0,393.0,74.0,763.0
2961,2024-580,Australian Open,Hard,128.0,G,2024-01-15,118,123755,,,Daniel Elahi Galan,R,191.0,COL,27.5,106186,,WC,Jason Kubler,R,178.0,AUS,30.6,2-6 6-3 7-6(3) 4-6 7-6(8),5,R128,299.0,16.0,2.0,202.0,137.0,90.0,28.0,26.0,17.0,25.0,11.0,4.0,175.0,109.0,71.0,33.0,25.0,7.0,13.0,87.0,676.0,113.0,561.0
2962,2024-580,Australian Open,Hard,128.0,G,2024-01-15,119,202104,26.0,,Sebastian Baez,R,170.0,ARG,23.0,200670,,,J J Wolf,R,183.0,USA,25.0,3-6 6-2 6-3 3-0 RET,5,R128,133.0,6.0,2.0,90.0,66.0,42.0,15.0,15.0,8.0,11.0,13.0,5.0,98.0,57.0,34.0,17.0,14.0,7.0,14.0,29.0,1435.0,57.0,900.0
2963,2024-580,Australian Open,Hard,128.0,G,2024-01-15,120,126207,17.0,,Frances Tiafoe,R,188.0,USA,25.9,106432,,,Borna Coric,R,188.0,CRO,27.1,6-3 7-6(7) 2-6 6-3,5,R128,208.0,15.0,8.0,163.0,97.0,71.0,29.0,19.0,10.0,14.0,12.0,2.0,118.0,80.0,56.0,19.0,19.0,5.0,9.0,17.0,2100.0,40.0,1100.0
2964,2024-580,Australian Open,Hard,128.0,G,2024-01-15,121,207830,,,Tomas Machac,R,183.0,CZE,23.2,208278,,LL,Shintaro Mochizuki,R,175.0,JPN,20.6,7-5 6-1 7-5,5,R128,150.0,4.0,0.0,103.0,72.0,56.0,13.0,16.0,6.0,7.0,4.0,4.0,104.0,56.0,40.0,19.0,15.0,7.0,12.0,75.0,748.0,136.0,457.0
2965,2024-580,Australian Open,Hard,128.0,G,2024-01-15,122,206499,,Q,Aleksandar Kovacevic,R,183.0,USA,25.3,126214,,,Alejandro Tabilo,L,188.0,CHI,26.6,6-7(2) 7-6(7) 1-6 6-1 6-3,5,R128,202.0,23.0,8.0,162.0,101.0,76.0,34.0,24.0,11.0,13.0,34.0,6.0,143.0,89.0,73.0,26.0,23.0,2.0,6.0,101.0,611.0,49.0,970.0
2966,2024-580,Australian Open,Hard,128.0,G,2024-01-15,123,111575,15.0,,Karen Khachanov,R,198.0,RUS,27.6,127157,,,Daniel Altmaier,R,188.0,GER,25.3,5-7 6-3 7-6(5) 7-6(3),5,R128,242.0,15.0,4.0,147.0,85.0,65.0,33.0,23.0,7.0,11.0,10.0,3.0,145.0,90.0,68.0,26.0,22.0,8.0,12.0,15.0,2430.0,50.0,946.0
2967,2024-580,Australian Open,Hard,128.0,G,2024-01-15,124,200282,10.0,,Alex De Minaur,R,183.0,AUS,24.9,105683,,,Milos Raonic,R,196.0,CAN,33.0,6-7(6) 6-3 2-0 RET,5,R128,115.0,10.0,1.0,80.0,41.0,35.0,24.0,12.0,4.0,4.0,12.0,1.0,70.0,40.0,30.0,18.0,11.0,1.0,3.0,10.0,2950.0,319.0,165.0
2968,2024-580,Australian Open,Hard,128.0,G,2024-01-15,125,208286,,,Matteo Arnaldi,R,185.0,ITA,22.8,200443,,WC,Adam Walton,R,183.0,AUS,24.7,7-6(5) 6-2 6-4,5,R128,156.0,16.0,1.0,114.0,72.0,52.0,21.0,15.0,9.0,11.0,1.0,0.0,92.0,59.0,40.0,15.0,15.0,8.0,13.0,41.0,1077.0,174.0,354.0
2969,2024-580,Australian Open,Hard,128.0,G,2024-01-15,126,200303,,,Pavel Kotov,R,191.0,RUS,25.1,126239,,,Arthur Rinderknech,R,196.0,FRA,28.4,7-5 6-1 6-7(6) 6-7(5) 6-3,5,R128,282.0,9.0,4.0,176.0,124.0,92.0,29.0,26.0,9.0,10.0,18.0,6.0,183.0,114.0,85.0,29.0,26.0,10.0,16.0,65.0,835.0,94.0,629.0
2970,2024-580,Australian Open,Hard,128.0,G,2024-01-15,127,207925,,Q,Flavio Cobolli,R,183.0,ITA,21.6,111797,18.0,,Nicolas Jarry,R,201.0,CHI,28.2,6-4 3-6 6-3 2-6 7-5,5,R128,241.0,14.0,4.0,134.0,73.0,53.0,32.0,24.0,3.0,9.0,8.0,2.0,140.0,89.0,65.0,23.0,24.0,9.0,15.0,100.0,617.0,18.0,1870.0
2971,2024-580,Australian Open,Hard,128.0,G,2024-01-15,128,200624,29.0,,Sebastian Korda,R,196.0,USA,23.5,200240,,Q,Vit Kopriva,R,178.0,CZE,26.5,6-1 6-4 2-6 4-6 6-2,5,R128,185.0,12.0,5.0,116.0,70.0,52.0,23.0,22.0,2.0,8.0,13.0,11.0,150.0,85.0,61.0,20.0,21.0,10.0,18.0,26.0,1480.0,132.0,498.0
2972,2024-580,Australian Open,Hard,128.0,G,2024-01-15,129,111460,,,Quentin Halys,R,191.0,FRA,27.2,144750,,Q,Lloyd Harris,R,193.0,RSA,26.8,4-6 7-6(5) 7-5 7-6(2),5,R128,187.0,21.0,5.0,152.0,99.0,78.0,29.0,23.0,12.0,14.0,15.0,2.0,135.0,95.0,72.0,21.0,23.0,5.0,7.0,110.0,575.0,167.0,371.0
2973,2024-580,Australian Open,Hard,128.0,G,2024-01-15,130,111153,,,Christopher Eubanks,R,201.0,USA,27.6,106121,,,Taro Daniel,R,191.0,JPN,30.9,6-4 6-2 6-3,5,R128,99.0,9.0,2.0,73.0,57.0,50.0,9.0,14.0,1.0,1.0,4.0,3.0,76.0,45.0,30.0,18.0,13.0,7.0,11.0,35.0,1215.0,58.0,893.0
2974,2024-580,Australian Open,Hard,128.0,G,2024-01-15,131,126094,5.0,,Andrey Rublev,R,188.0,RUS,26.2,205734,,,Thiago Seyboth Wild,R,185.0,BRA,23.8,7-5 6-4 3-6 4-6 7-6(6),5,R128,222.0,21.0,1.0,154.0,100.0,83.0,25.0,27.0,4.0,8.0,15.0,6.0,202.0,130.0,91.0,34.0,26.0,19.0,23.0,5.0,5010.0,77.0,718.0
2975,2024-580,Australian Open,Hard,128.0,G,2024-01-15,132,208029,8.0,,Holger Rune,R,188.0,DEN,20.7,106415,,,Yoshihito Nishioka,L,170.0,JPN,28.3,6-2 4-6 7-6(3) 6-4,5,R128,205.0,17.0,5.0,135.0,86.0,66.0,29.0,20.0,6.0,7.0,4.0,4.0,135.0,83.0,57.0,26.0,20.0,8.0,11.0,8.0,3815.0,61.0,865.0
2976,2024-580,Australian Open,Hard,128.0,G,2024-01-15,133,209070,,WC,Arthur Cazaux,R,183.0,FRA,21.3,111513,,,Laslo Djere,R,188.0,SRB,28.6,6-2 6-7(3) 6-2 3-6 6-2,5,R128,206.0,11.0,3.0,119.0,78.0,66.0,21.0,23.0,3.0,5.0,5.0,7.0,160.0,100.0,64.0,29.0,22.0,11.0,18.0,122.0,529.0,33.0,1250.0
2977,2024-580,Australian Open,Hard,128.0,G,2024-01-15,134,209950,,,Arthur Fils,R,185.0,FRA,19.5,106210,,,Jiri Vesely,L,198.0,CZE,30.5,4-6 7-5 6-2 6-3,5,R128,163.0,18.0,4.0,99.0,65.0,55.0,23.0,20.0,1.0,2.0,3.0,8.0,129.0,88.0,59.0,19.0,19.0,8.0,12.0,34.0,1233.0,293.0,188.0
2978,2024-580,Australian Open,Hard,128.0,G,2024-01-15,135,134868,28.0,,Tallon Griekspoor,R,188.0,NED,27.5,126128,,,Roman Safiullin,R,185.0,RUS,26.4,2-6 3-6 7-6(3) 6-4 7-5,5,R128,230.0,15.0,5.0,162.0,95.0,68.0,38.0,26.0,10.0,14.0,16.0,3.0,143.0,88.0,67.0,35.0,25.0,4.0,7.0,31.0,1410.0,36.0,1190.0
2979,2024-580,Australian Open,Hard,128.0,G,2024-01-15,136,200005,21.0,,Ugo Humbert,L,188.0,FRA,25.5,105676,,Q,David Goffin,R,180.0,BEL,33.1,6-2 7-5 5-7 6-3,5,R128,176.0,9.0,1.0,120.0,72.0,55.0,30.0,21.0,7.0,9.0,9.0,3.0,130.0,77.0,55.0,26.0,20.0,12.0,17.0,20.0,1765.0,112.0,570.0
2980,2024-580,Australian Open,Hard,128.0,G,2024-01-15,137,111190,,,Zhizhen Zhang,R,193.0,CHN,27.2,105948,,,Federico Coria,R,180.0,ARG,31.8,6-4 7-6(3) 7-6(5),5,R128,153.0,13.0,2.0,112.0,67.0,47.0,26.0,17.0,1.0,4.0,14.0,7.0,114.0,64.0,52.0,22.0,17.0,7.0,11.0,54.0,911.0,84.0,694.0
2981,2024-580,Australian Open,Hard,128.0,G,2024-01-15,138,210150,,Q,Jakub Mensik,R,193.0,CZE,18.3,133430,,,Denis Shapovalov,L,185.0,CAN,24.7,6-3 7-5 7-5,5,R128,139.0,12.0,4.0,95.0,57.0,47.0,26.0,17.0,9.0,9.0,12.0,7.0,106.0,60.0,46.0,19.0,16.0,7.0,10.0,142.0,433.0,114.0,560.0
2982,2024-580,Australian Open,Hard,128.0,G,2024-01-15,139,128034,9.0,,Hubert Hurkacz,R,196.0,POL,26.9,117357,,Q,Omar Jasika,L,183.0,AUS,26.6,7-6(4) 6-4 6-2,5,R128,131.0,24.0,1.0,92.0,56.0,48.0,20.0,15.0,1.0,1.0,3.0,0.0,98.0,65.0,40.0,21.0,15.0,4.0,7.0,9.0,3320.0,343.0,148.0
2983,2024-580,Australian Open,Hard,128.0,G,2024-01-15,140,105777,13.0,,Grigor Dimitrov,R,191.0,BUL,32.6,105916,,,Marton Fucsovics,R,188.0,HUN,31.9,4-6 6-3 7-6(1) 6-2,5,R128,207.0,8.0,8.0,119.0,77.0,64.0,16.0,20.0,5.0,8.0,5.0,6.0,146.0,80.0,51.0,35.0,19.0,16.0,21.0,13.0,2775.0,70.0,782.0
2984,2024-580,Australian Open,Hard,128.0,G,2024-01-15,141,106423,,,Thanasi Kokkinakis,R,193.0,AUS,27.7,124116,,,Sebastian Ofner,R,191.0,AUT,27.6,7-6(1) 2-6 6-7(4) 6-1 7-6(8),5,R128,258.0,26.0,3.0,165.0,114.0,87.0,31.0,26.0,2.0,4.0,15.0,3.0,160.0,97.0,78.0,33.0,25.0,5.0,7.0,80.0,711.0,37.0,1141.0
2985,2024-580,Australian Open,Hard,128.0,G,2024-01-15,142,132686,,,Nuno Borges,R,185.0,POR,26.9,109739,,,Maximilian Marterer,L,188.0,GER,28.5,7-5 7-6(3) 6-2,5,R128,149.0,18.0,0.0,99.0,64.0,54.0,18.0,16.0,7.0,8.0,11.0,4.0,118.0,79.0,51.0,17.0,16.0,10.0,14.0,69.0,814.0,96.0,626.0
2986,2024-580,Australian Open,Hard,128.0,G,2024-01-15,143,200221,23.0,,Alejandro Davidovich Fokina,R,183.0,ESP,24.6,106005,,,Constant Lestienne,R,180.0,FRA,31.6,6-4 6-4 7-6(5),5,R128,166.0,11.0,2.0,116.0,84.0,57.0,18.0,16.0,5.0,7.0,7.0,4.0,115.0,71.0,46.0,23.0,16.0,8.0,12.0,24.0,1530.0,99.0,619.0
2987,2024-580,Australian Open,Hard,128.0,G,2024-01-15,144,200000,27.0,,Felix Auger Aliassime,R,193.0,CAN,23.4,106233,,,Dominic Thiem,R,185.0,AUT,30.3,6-3 7-5 6-7(5) 5-7 6-3,5,R128,299.0,16.0,10.0,166.0,97.0,75.0,40.0,27.0,5.0,8.0,15.0,8.0,180.0,121.0,85.0,28.0,27.0,8.0,13.0,30.0,1425.0,92.0,654.0
2988,2024-580,Australian Open,Hard,128.0,G,2024-01-15,145,126409,,Q,Hugo Grenier,R,196.0,FRA,27.8,124186,,,Alexandre Muller,R,183.0,FRA,26.9,2-6 7-6(3) 4-6 6-4 7-6(7),5,R128,259.0,31.0,10.0,167.0,112.0,84.0,22.0,26.0,7.0,13.0,12.0,5.0,180.0,126.0,84.0,31.0,26.0,7.0,11.0,178.0,340.0,73.0,774.0
2989,2024-580,Australian Open,Hard,128.0,G,2024-01-15,146,200325,,,Emil Ruusuvuori,R,188.0,FIN,24.7,200516,,WC,Patrick Kypson,R,188.0,USA,24.2,4-6 6-3 6-4 7-6(4),5,R128,181.0,19.0,5.0,123.0,77.0,66.0,27.0,21.0,4.0,5.0,17.0,1.0,129.0,81.0,59.0,25.0,20.0,4.0,6.0,53.0,921.0,183.0,330.0
2990,2024-580,Australian Open,Hard,128.0,G,2024-01-15,147,106421,3.0,,Daniil Medvedev,R,198.0,RUS,27.9,209279,,Q,Terence Atmane,L,193.0,FRA,22.0,5-7 6-2 6-4 1-0 RET,5,R128,157.0,9.0,4.0,90.0,54.0,39.0,21.0,16.0,5.0,8.0,12.0,7.0,121.0,69.0,50.0,19.0,15.0,13.0,19.0,3.0,7555.0,144.0,429.0
2991,2024-580,Australian Open,Hard,128.0,G,2024-01-15,148,100644,6.0,,Alexander Zverev,R,198.0,GER,26.7,136440,,,Dominik Koepfer,L,180.0,GER,29.7,4-6 6-3 7-6(3) 6-3,5,R128,192.0,19.0,2.0,131.0,94.0,73.0,22.0,20.0,8.0,9.0,8.0,1.0,131.0,91.0,59.0,27.0,20.0,6.0,8.0,6.0,4275.0,62.0,858.0
2992,2024-580,Australian Open,Hard,128.0,G,2024-01-15,149,127760,,Q,Lukas Klein,R,193.0,SVK,25.8,126952,,,Soon Woo Kwon,R,180.0,KOR,26.1,7-6(0) 4-6 7-6(3) 6-3,5,R128,190.0,16.0,6.0,135.0,94.0,69.0,21.0,22.0,6.0,10.0,6.0,10.0,149.0,80.0,57.0,36.0,21.0,6.0,10.0,163.0,391.0,697.0,40.0
2993,2024-580,Australian Open,Hard,128.0,G,2024-01-15,150,210506,,,Alex Michelsen,R,193.0,USA,19.3,210317,,WC,James Mccabe,R,188.0,AUS,20.5,7-6(5) 3-6 6-1 6-2,5,R128,175.0,8.0,4.0,118.0,80.0,56.0,23.0,18.0,8.0,11.0,13.0,3.0,113.0,70.0,48.0,17.0,18.0,2.0,8.0,91.0,656.0,269.0,214.0
2994,2024-580,Australian Open,Hard,128.0,G,2024-01-15,151,208103,32.0,,Jiri Lehecka,R,185.0,CZE,22.1,126523,,,Bernabe Zapata Miralles,R,183.0,ESP,27.0,6-3 6-2 6-3,5,R128,102.0,6.0,2.0,78.0,44.0,32.0,21.0,13.0,3.0,4.0,3.0,3.0,75.0,52.0,30.0,10.0,13.0,4.0,10.0,23.0,1555.0,78.0,715.0
2995,2024-580,Australian Open,Hard,128.0,G,2024-01-15,152,111815,19.0,,Cameron Norrie,L,188.0,GBR,28.3,122669,,,Juan Pablo Varillas,R,185.0,PER,28.2,6-4 6-4 6-2,5,R128,135.0,6.0,3.0,81.0,44.0,36.0,21.0,14.0,3.0,4.0,2.0,4.0,92.0,44.0,24.0,26.0,14.0,8.0,13.0,22.0,1710.0,81.0,709.0
2996,2024-580,Australian Open,Hard,128.0,G,2024-01-15,153,206748,,Q,Giulio Zeppieri,L,183.0,ITA,22.1,105583,,,Dusan Lajovic,R,183.0,SRB,33.5,6-3 3-6 6-3 7-6(3),5,R128,146.0,15.0,6.0,114.0,60.0,50.0,36.0,20.0,6.0,8.0,2.0,1.0,112.0,80.0,58.0,17.0,19.0,5.0,8.0,133.0,487.0,51.0,939.0
2997,2024-580,Australian Open,Hard,128.0,G,2024-01-15,154,126845,,,Max Purcell,R,185.0,AUS,25.7,200218,,Q,Mate Valkusz,R,183.0,HUN,25.4,3-6 7-6(2) 6-4 7-5,5,R128,172.0,17.0,3.0,136.0,81.0,61.0,30.0,22.0,6.0,10.0,9.0,11.0,135.0,89.0,66.0,21.0,21.0,8.0,13.0,45.0,1021.0,214.0,291.0
2998,2024-580,Australian Open,Hard,128.0,G,2024-01-15,155,134770,11.0,,Casper Ruud,R,183.0,NOR,25.0,105077,,,Albert Ramos,L,188.0,ESP,35.9,6-1 6-3 6-1,5,R128,126.0,11.0,5.0,76.0,41.0,34.0,20.0,12.0,4.0,4.0,2.0,2.0,83.0,50.0,27.0,11.0,11.0,6.0,12.0,11.0,2910.0,85.0,688.0
2999,2024-580,Australian Open,Hard,128.0,G,2024-01-15,156,126205,14.0,,Tommy Paul,R,185.0,USA,26.6,106296,,,Gregoire Barrere,R,183.0,FRA,29.9,6-2 6-3 6-3,5,R128,94.0,9.0,2.0,70.0,43.0,37.0,18.0,13.0,4.0,4.0,6.0,2.0,73.0,47.0,30.0,11.0,13.0,2.0,7.0,14.0,2670.0,83.0,696.0
3000,2024-580,Australian Open,Hard,128.0,G,2024-01-15,157,207733,,,Jack Draper,L,193.0,GBR,22.0,106218,,,Marcos Giron,R,180.0,USA,30.4,6-4 3-6 4-6 6-0 6-2,5,R128,200.0,17.0,5.0,134.0,73.0,52.0,29.0,22.0,5.0,10.0,13.0,4.0,127.0,77.0,49.0,21.0,21.0,8.0,17.0,55.0,911.0,66.0,825.0
3001,2024-580,Australian Open,Hard,128.0,G,2024-01-15,158,200175,,,Miomir Kecmanovic,R,183.0,SRB,24.3,133297,,,Yosuke Watanuki,R,180.0,JPN,25.7,4-6 7-5 6-3 6-4,5,R128,157.0,8.0,1.0,123.0,83.0,62.0,24.0,21.0,3.0,5.0,11.0,4.0,114.0,73.0,57.0,17.0,20.0,2.0,6.0,60.0,890.0,102.0,610.0
3002,2024-580,Australian Open,Hard,128.0,G,2024-01-15,159,105526,24.0,,Jan Lennard Struff,R,193.0,GER,33.7,208014,,,Rinky Hijikata,R,178.0,AUS,22.8,3-6 6-3 6-2 6-7(2) 7-6(8),5,R128,230.0,25.0,4.0,177.0,107.0,82.0,33.0,25.0,11.0,14.0,24.0,6.0,164.0,95.0,73.0,31.0,25.0,8.0,13.0,25.0,1511.0,71.0,782.0
3003,2024-580,Australian Open,Hard,128.0,G,2024-01-15,160,111576,,Q,Sumit Nagal,R,178.0,IND,26.4,122330,31.0,,Alexander Bublik,R,196.0,KAZ,26.5,6-4 6-2 7-6(5),5,R128,157.0,1.0,0.0,93.0,70.0,47.0,13.0,15.0,4.0,7.0,13.0,9.0,109.0,58.0,40.0,19.0,15.0,6.0,12.0,137.0,450.0,27.0,1459.0
3004,2024-580,Australian Open,Hard,128.0,G,2024-01-15,161,209992,,WC,Juncheng Shang,L,180.0,CHN,18.9,111456,,,Mackenzie Mcdonald,R,178.0,USA,28.7,6-3 1-6 3-6 6-4 6-2,5,R128,206.0,4.0,4.0,143.0,83.0,57.0,30.0,22.0,13.0,18.0,6.0,4.0,117.0,78.0,52.0,20.0,21.0,5.0,10.0,140.0,435.0,42.0,1055.0
3005,2024-580,Australian Open,Hard,128.0,G,2024-01-15,162,132283,,,Lorenzo Sonego,R,191.0,ITA,28.6,105554,,,Daniel Evans,R,175.0,GBR,33.6,4-6 7-6(8) 6-2 7-6(4),5,R128,223.0,23.0,1.0,133.0,88.0,72.0,24.0,21.0,5.0,6.0,3.0,6.0,141.0,79.0,59.0,34.0,21.0,8.0,10.0,46.0,1005.0,38.0,1121.0
3006,2024-580,Australian Open,Hard,128.0,G,2024-01-15,163,207989,2.0,,Carlos Alcaraz,R,183.0,ESP,20.6,104755,,,Richard Gasquet,R,183.0,FRA,37.5,7-6(5) 6-1 6-2,5,R128,142.0,9.0,3.0,94.0,62.0,45.0,21.0,14.0,2.0,2.0,3.0,3.0,117.0,86.0,51.0,11.0,13.0,12.0,16.0,2.0,8855.0,131.0,500.0
3007,2024-580,Australian Open,Hard,128.0,G,2024-01-15,164,104925,1.0,,Novak Djokovic,R,188.0,SRB,36.6,200615,,,Alexei Popyrin,R,196.0,AUS,24.4,6-3 4-6 7-6(4) 6-3,5,R64,191.0,11.0,0.0,119.0,73.0,60.0,27.0,20.0,5.0,7.0,17.0,4.0,111.0,64.0,47.0,27.0,20.0,8.0,11.0,1.0,11055.0,43.0,1052.0
