tourney_date,w_aces,l_aces,w_doubleFaults,l_doubleFaults,w_firstServePointsAccuracy,l_firstServePointsAccuracy,w_secondServePointsAccuracy,l_secondServePointsAccuracy,w_breakPointsSaved,l_breakPointsSaved
20240115,9.0,6.0,3.0,0.0,57.0,64.0,35.0,27.0,7.0,5.0
20240115,13.0,5.0,2.0,0.0,58.0,56.0,47.0,31.0,9.0,4.0
20240115,7.0,6.0,1.0,3.0,32.0,29.0,16.0,12.0,0.0,6.0
20240115,4.0,6.0,5.0,2.0,53.0,53.0,20.0,28.0,1.0,14.0
20240115,10.0,13.0,1.0,2.0,50.0,54.0,15.0,18.0,2.0,7.0
20240115,22.0,16.0,0.0,5.0,51.0,46.0,22.0,22.0,7.0,6.0
20240115,4.0,4.0,3.0,2.0,37.0,24.0,17.0,15.0,5.0,7.0
20240115,5.0,2.0,4.0,5.0,49.0,48.0,33.0,24.0,6.0,3.0
20240115,12.0,19.0,4.0,4.0,38.0,54.0,25.0,19.0,1.0,14.0
20240115,10.0,10.0,0.0,2.0,51.0,49.0,14.0,11.0,3.0,7.0
20240115,18.0,6.0,2.0,4.0,61.0,55.0,25.0,35.0,3.0,5.0
20240115,11.0,13.0,3.0,11.0,54.0,48.0,23.0,23.0,3.0,5.0
20240115,15.0,14.0,3.0,4.0,61.0,49.0,24.0,20.0,5.0,4.0
20240115,19.0,19.0,2.0,10.0,74.0,76.0,27.0,24.0,1.0,14.0
20240115,8.0,12.0,1.0,3.0,64.0,66.0,17.0,22.0,7.0,12.0
20240115,7.0,5.0,5.0,4.0,53.0,40.0,22.0,17.0,7.0,4.0
20240115,4.0,6.0,8.0,6.0,49.0,33.0,15.0,21.0,8.0,12.0
20240115,23.0,1.0,8.0,4.0,73.0,63.0,32.0,36.0,13.0,8.0
20240115,21.0,13.0,2.0,5.0,105.0,99.0,18.0,35.0,7.0,8.0
20240115,7.0,10.0,3.0,3.0,59.0,52.0,23.0,24.0,4.0,8.0
20240115,16.0,29.0,4.0,8.0,80.0,73.0,21.0,30.0,3.0,6.0
20240115,22.0,27.0,5.0,6.0,99.0,84.0,28.0,30.0,12.0,8.0
20240115,9.0,4.0,4.0,2.0,50.0,46.0,26.0,27.0,2.0,13.0
20240115,10.0,23.0,8.0,7.0,73.0,90.0,27.0,27.0,3.0,12.0
20240115,8.0,7.0,3.0,1.0,62.0,49.0,25.0,25.0,5.0,7.0
20240115,12.0,10.0,4.0,2.0,69.0,67.0,29.0,26.0,3.0,3.0
20240115,10.0,13.0,0.0,1.0,49.0,51.0,16.0,10.0,0.0,4.0
20240115,9.0,18.0,9.0,4.0,76.0,86.0,36.0,24.0,14.0,11.0
20240115,19.0,7.0,2.0,10.0,42.0,57.0,20.0,28.0,1.0,17.0
20240115,12.0,1.0,0.0,5.0,39.0,23.0,20.0,12.0,8.0,2.0
20240115,6.0,2.0,0.0,0.0,35.0,29.0,13.0,5.0,4.0,5.0
20240115,17.0,17.0,5.0,5.0,81.0,68.0,29.0,24.0,17.0,1.0
20240115,4.0,4.0,0.0,2.0,33.0,33.0,25.0,18.0,7.0,14.0
20240115,13.0,18.0,3.0,5.0,54.0,50.0,13.0,13.0,1.0,6.0
20240115,14.0,4.0,3.0,4.0,39.0,31.0,14.0,14.0,0.0,9.0
20240115,17.0,4.0,3.0,0.0,63.0,51.0,20.0,24.0,5.0,7.0
20240115,21.0,11.0,4.0,2.0,80.0,57.0,22.0,25.0,11.0,3.0
20240115,8.0,8.0,4.0,4.0,43.0,33.0,15.0,14.0,1.0,2.0
20240115,11.0,1.0,1.0,3.0,46.0,35.0,15.0,15.0,0.0,5.0
20240115,11.0,19.0,3.0,4.0,61.0,63.0,31.0,18.0,9.0,2.0
20240115,10.0,16.0,0.0,2.0,61.0,69.0,27.0,37.0,4.0,16.0
20240115,3.0,0.0,1.0,1.0,16.0,13.0,13.0,7.0,0.0,6.0
20240115,17.0,1.0,5.0,0.0,39.0,17.0,13.0,8.0,3.0,4.0
20240115,13.0,12.0,2.0,7.0,68.0,65.0,18.0,22.0,2.0,7.0
20240115,8.0,7.0,3.0,0.0,41.0,40.0,26.0,14.0,9.0,3.0
20240115,6.0,6.0,6.0,6.0,72.0,54.0,40.0,38.0,13.0,5.0
20240115,11.0,18.0,1.0,2.0,49.0,53.0,25.0,24.0,0.0,6.0
20240115,13.0,5.0,11.0,4.0,69.0,60.0,24.0,18.0,7.0,7.0
20240115,15.0,10.0,6.0,2.0,87.0,73.0,16.0,33.0,6.0,10.0
20240115,5.0,3.0,0.0,1.0,39.0,32.0,14.0,15.0,0.0,4.0
20240115,20.0,16.0,3.0,2.0,59.0,59.0,25.0,31.0,4.0,17.0
20240115,10.0,10.0,3.0,2.0,57.0,54.0,22.0,11.0,8.0,5.0
20240115,11.0,16.0,10.0,5.0,86.0,72.0,29.0,27.0,10.0,5.0
20240115,7.0,6.0,1.0,2.0,69.0,53.0,8.0,16.0,3.0,3.0
20240115,9.0,7.0,1.0,4.0,53.0,53.0,29.0,17.0,0.0,6.0
20240115,14.0,14.0,6.0,1.0,72.0,94.0,35.0,22.0,5.0,10.0
20240115,14.0,11.0,5.0,3.0,65.0,72.0,30.0,20.0,8.0,5.0
20230116,6.0,13.0,3.0,3.0,57.0,42.0,21.0,27.0,7.0,6.0
20230116,14.0,19.0,4.0,9.0,81.0,98.0,31.0,24.0,1.0,4.0
20230116,0.0,7.0,4.0,6.0,37.0,40.0,12.0,10.0,4.0,11.0
20230116,1.0,6.0,1.0,3.0,40.0,41.0,19.0,12.0,3.0,6.0
20230116,11.0,1.0,1.0,1.0,50.0,33.0,14.0,12.0,6.0,6.0
20230116,6.0,0.0,2.0,3.0,45.0,40.0,19.0,11.0,3.0,0.0
20230116,3.0,19.0,0.0,7.0,72.0,67.0,21.0,19.0,2.0,9.0
20230116,24.0,17.0,3.0,2.0,68.0,65.0,31.0,33.0,7.0,12.0
20230116,24.0,0.0,1.0,4.0,46.0,38.0,14.0,10.0,0.0,0.0
20230116,16.0,0.0,4.0,2.0,79.0,56.0,19.0,30.0,4.0,4.0
20230116,15.0,11.0,3.0,3.0,56.0,54.0,26.0,23.0,5.0,6.0
20230116,16.0,5.0,7.0,2.0,51.0,52.0,25.0,13.0,3.0,7.0
20230116,16.0,5.0,5.0,2.0,46.0,35.0,25.0,27.0,10.0,4.0
20230116,10.0,8.0,4.0,4.0,40.0,31.0,13.0,13.0,0.0,8.0
20230116,9.0,20.0,3.0,1.0,90.0,75.0,30.0,38.0,4.0,6.0
20230116,9.0,1.0,4.0,0.0,40.0,21.0,13.0,10.0,6.0,6.0
20230116,17.0,9.0,6.0,6.0,51.0,46.0,17.0,10.0,7.0,3.0
20230116,15.0,21.0,6.0,2.0,90.0,73.0,33.0,27.0,12.0,8.0
20230116,13.0,6.0,3.0,3.0,52.0,44.0,21.0,16.0,1.0,6.0
20230116,11.0,6.0,6.0,3.0,71.0,53.0,28.0,22.0,17.0,8.0
20230116,17.0,7.0,5.0,2.0,80.0,62.0,30.0,31.0,7.0,3.0
20230116,9.0,1.0,4.0,4.0,66.0,77.0,32.0,21.0,13.0,11.0
20230116,10.0,7.0,1.0,3.0,56.0,49.0,19.0,31.0,2.0,12.0
20230116,6.0,2.0,2.0,2.0,44.0,24.0,12.0,13.0,5.0,3.0
20230116,6.0,1.0,2.0,4.0,47.0,25.0,13.0,15.0,5.0,8.0
20230116,5.0,10.0,3.0,4.0,68.0,43.0,10.0,15.0,6.0,6.0
20230116,42.0,10.0,5.0,6.0,83.0,66.0,25.0,31.0,3.0,3.0
20230116,7.0,3.0,3.0,0.0,43.0,36.0,17.0,10.0,6.0,4.0
20230116,6.0,0.0,3.0,0.0,48.0,36.0,16.0,14.0,4.0,2.0
20230116,2.0,3.0,3.0,2.0,82.0,69.0,22.0,27.0,5.0,12.0
20230116,7.0,16.0,4.0,4.0,52.0,72.0,37.0,23.0,7.0,14.0
20230116,13.0,14.0,7.0,7.0,59.0,66.0,26.0,26.0,1.0,9.0
20230116,7.0,4.0,3.0,0.0,48.0,30.0,13.0,21.0,2.0,12.0
20230116,10.0,21.0,4.0,5.0,70.0,71.0,26.0,16.0,6.0,8.0
20230116,7.0,2.0,14.0,4.0,65.0,45.0,26.0,22.0,21.0,10.0
20230116,5.0,11.0,6.0,3.0,52.0,58.0,24.0,22.0,3.0,5.0
20230116,12.0,16.0,2.0,5.0,58.0,56.0,22.0,26.0,4.0,2.0
20230116,12.0,2.0,3.0,1.0,42.0,29.0,17.0,15.0,3.0,8.0
20230116,34.0,5.0,11.0,3.0,65.0,58.0,27.0,29.0,3.0,5.0
20230116,11.0,4.0,4.0,3.0,40.0,40.0,14.0,10.0,6.0,6.0
20230116,15.0,12.0,3.0,1.0,53.0,48.0,22.0,18.0,2.0,4.0
20230116,15.0,9.0,3.0,7.0,65.0,58.0,34.0,24.0,12.0,3.0
20230116,14.0,21.0,4.0,2.0,70.0,67.0,24.0,19.0,3.0,5.0
20230116,8.0,3.0,1.0,2.0,30.0,43.0,20.0,10.0,1.0,8.0
20230116,15.0,9.0,4.0,11.0,49.0,50.0,20.0,18.0,1.0,8.0
20230116,7.0,7.0,1.0,5.0,39.0,47.0,24.0,14.0,5.0,7.0
20230116,4.0,1.0,1.0,4.0,37.0,34.0,18.0,11.0,2.0,6.0
20230116,9.0,4.0,1.0,1.0,39.0,26.0,16.0,14.0,3.0,4.0
20230116,32.0,9.0,2.0,11.0,56.0,50.0,20.0,26.0,2.0,3.0
20230116,31.0,2.0,4.0,7.0,95.0,91.0,31.0,37.0,9.0,12.0
20230116,18.0,12.0,8.0,2.0,66.0,72.0,36.0,26.0,5.0,3.0
20230116,21.0,5.0,0.0,2.0,49.0,38.0,19.0,23.0,0.0,1.0
20230116,8.0,9.0,4.0,3.0,70.0,51.0,29.0,36.0,14.0,8.0
20230116,17.0,19.0,5.0,3.0,65.0,61.0,22.0,21.0,9.0,8.0
20230116,9.0,11.0,6.0,8.0,57.0,64.0,31.0,25.0,3.0,5.0
20230116,21.0,15.0,5.0,0.0,89.0,76.0,16.0,34.0,3.0,13.0
20230116,10.0,31.0,2.0,1.0,86.0,90.0,35.0,20.0,4.0,2.0
20230116,14.0,4.0,1.0,2.0,42.0,26.0,7.0,7.0,2.0,5.0
20230116,4.0,19.0,2.0,3.0,65.0,63.0,25.0,28.0,4.0,8.0
20230116,6.0,4.0,4.0,0.0,39.0,29.0,17.0,6.0,4.0,1.0
20230116,7.0,20.0,3.0,16.0,69.0,58.0,26.0,27.0,4.0,7.0
20230116,20.0,8.0,1.0,6.0,45.0,30.0,15.0,13.0,2.0,5.0
20230116,9.0,8.0,2.0,4.0,52.0,36.0,20.0,25.0,4.0,6.0
20230116,11.0,10.0,3.0,1.0,60.0,72.0,33.0,21.0,3.0,9.0
20230116,14.0,6.0,2.0,2.0,43.0,40.0,20.0,18.0,2.0,3.0
20230116,2.0,1.0,1.0,6.0,33.0,40.0,20.0,6.0,1.0,7.0
20230116,15.0,14.0,2.0,2.0,64.0,57.0,18.0,20.0,3.0,4.0
20230116,20.0,1.0,1.0,3.0,39.0,35.0,18.0,18.0,4.0,11.0
20230116,9.0,5.0,6.0,7.0,78.0,67.0,16.0,29.0,5.0,12.0
20230116,9.0,2.0,9.0,5.0,43.0,41.0,23.0,23.0,5.0,3.0
20230116,10.0,6.0,2.0,5.0,49.0,32.0,27.0,20.0,15.0,2.0
20230116,10.0,0.0,3.0,1.0,50.0,28.0,10.0,10.0,4.0,5.0
20230116,6.0,3.0,1.0,0.0,37.0,17.0,16.0,10.0,5.0,3.0
20230116,9.0,8.0,2.0,2.0,51.0,35.0,15.0,17.0,3.0,1.0
20230116,3.0,5.0,2.0,2.0,62.0,44.0,24.0,28.0,8.0,7.0
20230116,6.0,6.0,3.0,1.0,37.0,24.0,16.0,11.0,0.0,0.0
20230116,17.0,0.0,3.0,2.0,59.0,67.0,27.0,12.0,9.0,7.0
20230116,4.0,8.0,2.0,0.0,55.0,51.0,16.0,16.0,3.0,5.0
20230116,2.0,1.0,5.0,3.0,53.0,56.0,17.0,23.0,3.0,8.0
20230116,23.0,4.0,5.0,5.0,61.0,56.0,21.0,21.0,2.0,6.0
20230116,16.0,9.0,3.0,2.0,72.0,55.0,21.0,21.0,8.0,9.0
20230116,8.0,6.0,0.0,5.0,36.0,36.0,17.0,10.0,1.0,5.0
20230116,18.0,5.0,2.0,5.0,62.0,47.0,21.0,22.0,6.0,7.0
20230116,10.0,10.0,5.0,14.0,52.0,37.0,15.0,17.0,1.0,3.0
20230116,15.0,12.0,2.0,2.0,89.0,87.0,33.0,34.0,15.0,17.0
20230116,3.0,2.0,5.0,3.0,49.0,51.0,30.0,19.0,2.0,3.0
20230116,9.0,4.0,2.0,7.0,32.0,22.0,16.0,13.0,0.0,6.0
20230116,9.0,7.0,6.0,2.0,54.0,53.0,24.0,20.0,1.0,14.0
20230116,19.0,21.0,8.0,3.0,92.0,88.0,31.0,31.0,1.0,7.0
